Transaction,datetime,Item,beverage,other,kids,snacks,bread,breakfast_pastry,breakfast,dessert,condiments,lunch,other_food,hour,weekday_Monday,weekday_Saturday,weekday_Sunday,weekday_Thursday,weekday_Tuesday,weekday_Wednesday
1,2016-10-30 09:58:11,Bread,0,0,0,0,1,0,0,0,0,0,0,9,False,False,True,False,False,False
2,2016-10-30 10:05:34,ScandinavianScandinavian,0,0,0,0,2,0,0,0,0,0,0,10,False,False,True,False,False,False
3,2016-10-30 10:07:57,Hot chocolateJamCookies,1,0,0,0,0,0,0,1,1,0,0,10,False,False,True,False,False,False
4,2016-10-30 10:08:41,Muffin,0,0,0,0,0,1,0,0,0,0,0,10,False,False,True,False,False,False
5,2016-10-30 10:13:03,CoffeePastryBread,1,0,0,0,1,1,0,0,0,0,0,10,False,False,True,False,False,False
6,2016-10-30 10:16:55,MedialunaPastryMuffin,0,0,0,0,0,3,0,0,0,0,0,10,False,False,True,False,False,False
7,2016-10-30 10:19:12,MedialunaPastryCoffeeTea,2,0,0,0,0,2,0,0,0,0,0,10,False,False,True,False,False,False
8,2016-10-30 10:20:51,PastryBread,0,0,0,0,1,1,0,0,0,0,0,10,False,False,True,False,False,False
9,2016-10-30 10:21:59,BreadMuffin,0,0,0,0,1,1,0,0,0,0,0,10,False,False,True,False,False,False
10,2016-10-30 10:25:58,ScandinavianMedialuna,0,0,0,0,1,1,0,0,0,0,0,10,False,False,True,False,False,False
11,2016-10-30 10:27:21,BreadMedialunaBreadNONE,0,1,0,0,2,1,0,0,0,0,0,10,False,False,True,False,False,False
12,2016-10-30 10:30:14,JamCoffeeTartinePastryTea,2,0,0,0,0,1,0,1,1,0,0,10,False,False,True,False,False,False
13,2016-10-30 10:31:24,BasketBreadCoffee,1,0,0,0,1,0,0,0,0,0,1,10,False,False,True,False,False,False
14,2016-10-30 10:32:46,BreadMedialunaPastry,0,0,0,0,1,2,0,0,0,0,0,10,False,False,True,False,False,False
15,2016-10-30 10:34:36,NONENONEMineral waterScandinavian,1,2,0,0,1,0,0,0,0,0,0,10,False,False,True,False,False,False
16,2016-10-30 10:37:08,BreadMedialunaCoffee,1,0,0,0,1,1,0,0,0,0,0,10,False,False,True,False,False,False
17,2016-10-30 10:38:04,Hot chocolate,1,0,0,0,0,0,0,0,0,0,0,10,False,False,True,False,False,False
18,2016-10-30 10:41:56,Farm House,0,0,0,0,0,0,0,0,0,0,1,10,False,False,True,False,False,False
19,2016-10-30 10:43:08,Farm HouseBread,0,0,0,0,1,0,0,0,0,0,1,10,False,False,True,False,False,False
